NumTable;Source;CodeEntity;Step;ReadOnly;DatabaseSource;Description
1;"Resjour";1;1;False;"DBResult";"Résultats journaliers"
2;"Pluviometrie";3;1;True;"DBGeoClimato";"Données pluviométriques"
3;"Meteorologie";3;1;True;"DBGeoClimato";"Données météorologiques"
4;"ObsParcelle";2;-1;True;"DBObserve";"Données observées"
5;"Continent";3;0;True;"DBGeoClimato";""
6;"GestionEau";4;-2;True;"DBObserve";""
7;"Irrigation";1;-1;True;"DBObserve";"Données d'irrigation"
8;"ItineraireTechnique";4;0;True;"DBSimulation";""
9;"Parcelle";1;0;True;"DBSimulation";""
12;"Simule";6;0;True;"DBSimulation";"Simule"
13;"Site";3;0;True;"DBSimulation";"Site"
14;"Station";3;0;True;"DBGeoClimato";"Station"
15;"TypeSol";4;0;True;"DBPlanteSol";""
